Option,Agentless,Power,Predictive,Preview,Progressive
Abandon Rate,,x,x,,
Agent Script,,x,x,x,x
Skip Preview Calls,,,,x,
Call Response,x,x,x,,x
Callable Time Set,x,x,x,x,x
Caller ID Name,x,x,x,x,x
Caller ID Phone Number,x,x,x,x,x
Campaign Name,x,x,x,x,x
Contact List,x,x,x,x,x
Contact List Numbers,x,x,x,x,x
Dialing Mode,x,x,x,x,x
DNC Lists,x,x,x,x,x
Edge Group,x,x,x,,x
Enable Preview Timer,,,,x,
Number of Outbound Lines,x,,,,
One Phone No. Per Preview,,,,x,
Queue,,x,x,x,x
Rule Sets,x,x,x,x,